line_id,page_num,block,line,text,top_x0_pt,top_y0_pt,top_x1_pt,top_y1_pt,pdf_x0_pt,pdf_y0_pt,pdf_x1_pt,pdf_y1_pt,page_width_pt,page_height_pt
1,1,0,0,Civil Service Form No. 6,36.0,14.660024642944336,122.18399047851562,23.564023971557617,36.0,818.3360004425049,122.18399047851562,827.2399997711182,595.2999877929688,841.9000244140625
2,1,0,1,Revised 2020,36.0,23.860036849975582,84.91999053955078,32.7640380859375,36.0,809.135986328125,84.91999053955078,818.0399875640869,595.2999877929688,841.9000244140625
3,1,1,0,Republic of the Philippines,226.52999877929688,34.94502258300781,367.6710815429688,47.21002578735352,226.52999877929688,794.689998626709,367.6710815429688,806.9550018310547,595.2999877929688,841.9000244140625
4,1,1,1,PHILIPPINE STATISTICS AUTHORITY,176.42999267578125,50.0,417.161865234375,62.0,176.42999267578125,779.9000244140625,417.161865234375,791.9000244140625,595.2999877929688,841.9000244140625
5,1,2,0,"PSA Complex, East Avenue, Diliman, Quezon City 1100",197.5200042724609,62.76000213623047,396.66400146484375,71.68000030517578,197.5200042724609,770.2200241088867,396.66400146484375,779.140022277832,595.2999877929688,841.9000244140625
6,1,2,1,Stamp of Date of Receipt,488.0799865722656,58.36003875732422,577.5118408203125,67.28003692626953,488.0799865722656,774.619987487793,577.5118408203125,783.5399856567383,595.2999877929688,841.9000244140625
7,1,3,0,APPLICATION FOR LEAVE,208.22000122070312,95.33000183105467,387.1539916992188,110.94000244140624,208.22000122070312,730.9600219726562,387.1539916992188,746.5700225830078,595.2999877929688,841.9000244140625
8,1,4,0,1. OFFICE/DEPARTMENT,36.0,125.4700164794922,155.45999145507812,136.62002563476562,36.0,705.2799987792969,155.45999145507812,716.4300079345703,595.2999877929688,841.9000244140625
9,1,6,0,2. NAME: (Last) (First) (Middle),232.8300018310547,125.4700164794922,516.280029296875,136.62002563476562,232.8300018310547,705.2799987792969,516.280029296875,716.4300079345703,595.2999877929688,841.9000244140625
10,1,7,0,3. DATE OF FILING:,36.0,157.27000427246094,128.3000030517578,168.42001342773438,36.0,673.4800109863281,128.3000030517578,684.6300201416016,595.2999877929688,841.9000244140625
11,1,7,1,4. POSITION,232.8300018310547,157.3700408935547,291.8099975585937,168.52005004882812,232.8300018310547,673.3799743652344,291.8099975585937,684.5299835205078,595.2999877929688,841.9000244140625
12,1,7,2,5. SALARY,413.8500061035156,157.3700408935547,464.4800415039063,168.52005004882812,413.8500061035156,673.3799743652344,464.4800415039063,684.5299835205078,595.2999877929688,841.9000244140625
13,1,8,0,6. DETAILS OF APPLICATION,221.42999267578125,179.3700408935547,362.5799560546875,190.52005004882807,221.42999267578125,651.3799743652344,362.5799560546875,662.5299835205078,595.2999877929688,841.9000244140625
14,1,9,0,6.A TYPE OF LEAVE TO BE AVAILED OF,36.0,198.3700408935547,226.0799865722656,209.52005004882807,36.0,632.3799743652344,226.0799865722656,643.5299835205078,595.2999877929688,841.9000244140625
15,1,9,1,6.B DETAILS OF LEAVE,328.3500061035156,198.3700408935547,439.4500732421875,209.52005004882807,328.3500061035156,632.3799743652344,439.4500732421875,643.5299835205078,595.2999877929688,841.9000244140625
16,1,9,4,"Vacation Leave (Sec. 51, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,219.18003845214844,280.7639465332031,228.1000366210937,53.79999923706055,613.7999877929688,280.7639465332031,622.7199859619141,595.2999877929688,841.9000244140625
17,1,9,6,"Mandatory/Forced Leave (Sec. 25, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,235.280014038086,314.4698486328125,244.20001220703125,53.79999923706055,597.7000122070312,314.4698486328125,606.6200103759766,595.2999877929688,841.9000244140625
18,1,9,8,"Sick Leave (Sec. 43, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,251.37998962402344,264.6710205078125,260.29998779296875,53.79999923706055,581.6000366210938,264.6710205078125,590.5200347900391,595.2999877929688,841.9000244140625
19,1,9,10,"Maternity Leave (RA No. 11210/IRR issued by CSC, DOLE and SSS)",53.79999923706055,267.48004150390625,252.02606201171875,276.4000244140625,53.79999923706055,565.5,252.02606201171875,574.4199829101562,595.2999877929688,841.9000244140625
20,1,9,12,"Paternity Leave (RA No. 8187/CSC MC No. 71, s. 1998, as amended)",53.79999923706055,283.5800170898437,253.8840789794922,292.5,53.79999923706055,549.4000244140625,253.8840789794922,558.3200073242188,595.2999877929688,841.9000244140625
21,1,9,14,"Special Privilege Leave (Sec. 21, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,303.1800537109375,308.7698669433594,312.1000366210937,53.79999923706055,529.7999877929688,308.7698669433594,538.719970703125,595.2999877929688,841.9000244140625
22,1,9,16,"Solo Parent Leave (RA No. 8972/CSC MC No. 8, s. 2004)",53.79999923706055,319.280029296875,224.43405151367188,328.20001220703125,53.79999923706055,513.7000122070312,224.43405151367188,522.6199951171875,595.2999877929688,841.9000244140625
23,1,9,18,"Study Leave (Sec. 68, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,335.3800354003906,270.0599975585937,344.3000183105469,53.79999923706055,497.6000061035156,270.0599975585937,506.5199890136719,595.2999877929688,841.9000244140625
24,1,9,20,"10-Day VAWC Leave (RA No. 9262/CSC MC No. 15, s. 2005)",53.79999923706055,351.5100402832031,237.9340667724609,360.4300231933594,53.79999923706055,481.4700012207031,237.9340667724609,490.3899841308594,595.2999877929688,841.9000244140625
25,1,9,22,"Rehabilitation Privilege (Sec. 55, Rule XVI, Omnibus Rules Implementing E.O. No. 292)",53.79999923706055,367.6100463867188,306.9598693847656,376.530029296875,53.79999923706055,465.3699951171875,306.9598693847656,474.2899780273437,595.2999877929688,841.9000244140625
26,1,9,24,"Special Leave Benefits for Women (RA No. 9710/CSC MC No. 25, s. 2010)",53.79999923706055,383.71002197265625,284.1279296875,392.6300048828125,53.79999923706055,449.27001953125,284.1279296875,458.1900024414063,595.2999877929688,841.9000244140625
27,1,9,26,"Special Emergency (Calamity) Leave (CSC MC No. 2, s. 2012, as amended)",53.79999923706055,399.71002197265625,290.4439392089844,408.6300048828125,53.79999923706055,433.27001953125,290.4439392089844,442.1900024414063,595.2999877929688,841.9000244140625
28,1,9,28,Adoption Leave (RA No. 8552),53.79999923706055,415.8100280761719,149.8980255126953,424.7300109863281,53.79999923706055,417.1700134277344,149.8980255126953,426.0899963378906,595.2999877929688,841.9000244140625
29,1,9,31,Others:,53.79999923706055,445.7050476074219,83.29900360107422,455.7400512695313,53.79999923706055,386.1599731445312,83.29900360107422,396.1949768066406,595.2999877929688,841.9000244140625
30,1,10,0,In case of Vacation/Special Privilege Leave:,328.3500061035156,212.2750396728516,503.4312133789063,222.2920379638672,328.3500061035156,619.6079864501953,503.4312133789063,629.6249847412109,595.2999877929688,841.9000244140625
31,1,10,3,Within the Philippines,346.3500061035156,229.87501525878903,432.37506103515625,239.91001892089844,346.3500061035156,601.9900054931641,432.37506103515625,612.0250091552734,595.2999877929688,841.9000244140625
